block_number,token_totalsupply
18759246,95961.9050413409
18752106,95860.29429881748
18744966,96451.74671313856
18737826,97111.49099464987
18730686,97138.92326209652
18723546,97140.88524688917
18716406,97344.23135299601
18709266,97455.4753240211
18702126,97543.12084912488
18694986,98000.542357641
18687846,98018.202528464
18680706,98025.84944035568
18673566,98026.1502384447
18666426,98041.40108945698
18659286,98075.21508619183
18652146,98226.90446133963
18645006,97529.95296736046
18637866,98678.92737447393
18630726,98997.9439180345
18623586,98976.96752039349
18616446,98988.67893271318
18609306,99074.42589839154
18602166,99111.42634011862
18595026,99096.08422131038
18587886,98992.85230288687
18580746,99013.41858956634
18573606,99661.2537914251
18566466,99695.03950628669
18559326,104643.66151935504
18552186,104723.08439924552
18545046,105186.12706869256
18537906,105153.78385607754
18530766,105306.02970972982
18523626,105368.70901221223
18516486,111220.76338030821
18509346,111114.51785510746
18502206,111235.54103701869
18495066,111216.92790303788
18487926,111314.04660664273
18480786,111379.53818766442
18473646,111522.67071129128
18466506,112258.14501701253
18459366,112331.75225287605
18452226,112422.6511741253
18445086,111545.08928843813
18437946,111200.21741168282
18430806,111328.9159231687
18423666,111522.22199417828
18416526,111743.4141087578
18409386,112029.97403965963
18402246,112048.6400705224
18395106,115809.94522052913
18387966,115871.405196857
18380826,116298.16629828169
18373686,116408.76757732577
18366546,116678.77698547377
18359406,117183.47516675953
18352266,117206.94472913236
18345126,118119.51044039294
18337986,117359.80325858567
18330846,117387.02327847708
18323706,117407.4720573872
18316566,118016.57711634724
18309426,117949.710148725
18302286,117953.25222046128
18295146,117996.89819460562
18288006,118255.5823833134
18280866,118442.72972048172
18273726,118480.43374141183
18266586,118451.74320645792
18259446,118466.71700307837
18252306,118911.99844554797
18245166,118977.6386919745
18238026,143292.5419561945
18230886,145474.97496622367
18223746,146496.30172168813
18216606,146477.2033586541
18209466,146766.38617858206
18202326,146687.86607011827
18195186,146694.57183399014
18188046,146934.4192541871
18180906,147017.22567436186
18173766,146926.17791007351
18166626,147075.09054659226
18159486,147215.36787461344
18152346,147228.08795404882
18145206,147311.9329627943
18138066,147349.63940251182
18130926,147635.40379991275
18123786,147913.81424895173
18116646,148026.8311266114
18109506,157804.26191712252
18102366,158161.28065440635
18095226,157817.58327578945
18088086,157823.24826474502
18080946,157900.8238614275
18073806,158050.30065494645
18066666,158076.08713710745
18059526,184702.01123138145
18052386,184901.79239637015
18045246,185018.4440432142
18038106,185313.7245149202
18030966,186626.90306539222
18023826,186666.9133714373
18016686,187745.91138480962
18009546,187940.31912535251
18002406,188477.74402720644
17995266,190243.5988954315
17988126,190270.41615277439
17980986,188441.62376730226
17973846,188457.33833020582
17966706,188784.53280938475
17959566,189925.22609538137
17952426,186416.6543914675
17945286,186665.01240982782
17938146,186940.6360784559
17931006,187179.56742486934
17923866,187281.90479831342
17916726,191596.93698047544
17909586,192922.9670532479
17902446,193045.86020505728
17895306,201637.5811683087
17888166,202501.52730550137
17881026,203153.17555627244
17873886,196138.51784379504
17866746,196529.71725345502
17859606,195066.8175918062
17852466,195244.18007026834
17845326,195811.39307485678
17838186,184787.80962404062
17831046,184741.96486390178
17823906,189649.5823040608
17816766,198971.19872098402
